name	length	type	molecule	unit	aliases
chr1	248387497	assembled	chr1	primary	1,CP068277.1
chr2	242696747	assembled	chr2	primary	2,CP068276.1
chr3	201106605	assembled	chr3	primary	3,CP068275.1
chr4	193575430	assembled	chr4	primary	4,CP068274.1
chr5	182045437	assembled	chr5	primary	5,CP068273.1
chr6	172126870	assembled	chr6	primary	6,CP068272.1
chr7	160567423	assembled	chr7	primary	7,CP068271.1
chr8	146259322	assembled	chr8	primary	8,CP068270.1
chr9	150617274	assembled	chr9	primary	9,CP068269.1
chr10	134758122	assembled	chr10	primary	10,CP068268.1
chr11	135127772	assembled	chr11	primary	11,CP068267.1
chr12	133324781	assembled	chr12	primary	12,CP068266.1
chr13	114240146	assembled	chr13	primary	13,CP068265.1
chr14	101219177	assembled	chr14	primary	14,CP068264.1
chr15	100338308	assembled	chr15	primary	15,CP068263.1
chr16	96330493	assembled	chr16	primary	16,CP068262.1
chr17	84277185	assembled	chr17	primary	17,CP068261.1
chr18	80542536	assembled	chr18	primary	18,CP068260.1
chr19	61707359	assembled	chr19	primary	19,CP068259.1
chr20	66210247	assembled	chr20	primary	20,CP068258.1
chr21	45827691	assembled	chr21	primary	21,CP068257.1
chr22	51353906	assembled	chr22	primary	22,CP068256.1
chrX	154259625	assembled	chrX	primary	X,CP068255.1
chrM	16569	assembled	chrM	non-nuclear	MT,CP068254.1
